Entity,Code,Day,2021,2020,"Projected, 2020",2015,2016,2017,2018,2019,2022,2023
Italy,ITA,2020-08-02,12646,12724,11809.5,12009,10991,13013,12305,10974,14636,11455
Italy,ITA,2020-08-09,13752,12115,12162.7,12595,10606,13993,12469,11395,13141,10915
Italy,ITA,2020-08-16,12889,12410,11349.7,11716,11144,11673,11204,11256,12569,11693
Italy,ITA,2020-08-23,12075,11914,10944.9,10619,11193,10922,11189,11046,11943,12976
Italy,ITA,2020-08-30,12021,11761,10897.7,11116,10748,11110,10851,10908,11679,11114
Italy,ITA,2020-09-06,12142,11262,10716.9,11352,10479,10542,11008,10448,11896,11307
Italy,ITA,2020-09-13,12231,11627,10775.7,10629,10584,10787,11098,11025,11643,11354
Italy,ITA,2020-09-20,11633,11821,10898.9,11358,10321,10976,11177,10907,11480,11100
Italy,ITA,2020-09-27,11534,11179,10976.3,10687,11094,11456,10903,10986,12133,11284
Italy,ITA,2020-10-04,11378,12017,11228.3,11228,11158,11562,11485,10953,12442,11440
Italy,ITA,2020-10-11,12515,12246,11761.3,11624,12362,12010,11614,11441,12392,11417
Italy,ITA,2020-10-18,13072,12746,11642.9,11389,12060,11902,11593,11515,12536,11522
Italy,ITA,2020-10-25,12703,14547,11798.9,11834,11816,11929,11891,11769,12520,11842
Italy,ITA,2020-11-01,12743,15659,11553.5,11722,11744,11761,11551,11234,12112,11684
Italy,ITA,2020-11-08,12794,17335,11855.5,11850,11889,12238,11805,11740,12908,12230
Italy,ITA,2020-11-15,12781,18647,12054.9,11629,12476,12478,11811,12125,13558,12981
Italy,ITA,2020-11-22,12751,18784,12101.7,11689,12146,12418,12532,11968,13720,13116
Italy,ITA,2020-11-29,13879,18887,12133.7,11738,12205,12555,12391,12024,14704,14017
Italy,ITA,2020-12-06,14237,17995,12497.3,12501,12543,13051,12739,11897,15180,13994
Italy,ITA,2020-12-13,14972,17482,12900.5,12491,13262,13501,12827,12666,15497,14596
Italy,ITA,2020-12-20,15214,17073,13366.7,12463,14861,13467,13306,12981,15433,15367
Italy,ITA,2020-12-27,15021,15703,13916.9,12560,16489,14956,13426,12398,15515,15828
Italy,ITA,2021-01-03,,16338,13916.9,,,,,,,
Jamaica,JAM,2020-01-31,1843,1881,1830.3,1884,1716,1804,1908,1417,2401,2011
Jamaica,JAM,2020-02-29,1808,1504,1745.3,1610,1705,1526,1643,1820,2187,1438
Jamaica,JAM,2020-03-31,2440,1523,1848.3,1702,1812,1732,1741,1832,1848,2076
Jamaica,JAM,2020-04-30,2510,1501,1697.5,1595,1486,1446,1795,1743,1602,1617
Jamaica,JAM,2020-05-31,1776,1550,1733.7,1470,1591,1732,1672,1781,1791,1946
Jamaica,JAM,2020-06-30,1957,1664,1738.5,1640,1648,1701,1606,1675,1879,1902
Jamaica,JAM,2020-07-31,1738,1735,1812.3,1704,1654,1655,1756,1870,1697,1911
Jamaica,JAM,2020-08-31,2001,1639,1736.9,1487,1680,1785,1591,1719,1968,2017
Jamaica,JAM,2020-09-30,4445,1788,1683.3,1551,1618,1576,1447,1802,1817,1764
Jamaica,JAM,2020-10-31,2698,1868,1719.5,1527,1563,1619,1654,1812,1680,1800
Jamaica,JAM,2020-11-30,2026,1746,1715.1,1508,1696,1603,1546,1800,1770,1769
Jamaica,JAM,2020-12-31,1730,1837,1627.1,1572,1590,1481,1403,1667,1598,1641
Japan,JPN,2020-01-31,140844,132622,140439.8,134256,124668,134174,137773,140223,143992,168970
Japan,JPN,2020-02-29,118984,117010,122475,110042,114527,116534,122855,117312,138474,135857
Japan,JPN,2020-03-31,123579,119161,123993.2,113860,116072,120019,120575,118335,139571,134156
Japan,JPN,2020-04-30,118169,113362,114288.8,104886,105264,108422,108977,112790,121799,123040
Japan,JPN,2020-05-31,118634,108380,111925.2,102731,103261,106278,106196,110055,121473,122193
Japan,JPN,2020-06-30,108734,100423,103944.2,94569,95443,97844,98406,102354,111904,113500
Japan,JPN,2020-07-31,112222,104849,109103.8,99448,99203,102387,106782,106594,117568,120524
Japan,JPN,2020-08-31,117804,111591,111308,101081,103353,103617,105948,111436,135649,130848
Japan,JPN,2020-09-30,115706,107468,108570.6,98242,100240,100893,104679,107694,127040,127242
Japan,JPN,2020-10-31,120781,118038,117133.4,107928,109608,110422,112320,114284,131840,133993
Japan,JPN,2020-11-30,122806,118455,120136.4,106616,113856,115170,114473,119462,134336,133823
Japan,JPN,2020-12-31,134026,133185,129229.6,116851,122663,124807,123486,127236,158387,146357
Jordan,JOR,2020-01-31,3184,3226,2896.1,2840,,2751,2753,2914,3599,2795
Jordan,JOR,2020-02-29,2840,2490,2372.3,2270,,2371,2244,2278,3350,2555
Jordan,JOR,2020-03-31,5482,2486,2440.6,2426,,2351,2522,2137,2963,2665
Jordan,JOR,2020-04-30,4688,2084,2242.3,2400,,2088,2172,1983,2362,2423
Jordan,JOR,2020-05-31,3130,2350,2213.1,2179,,2082,2157,2108,2213,2302
Jordan,JOR,2020-06-30,2512,2068,2091.1,1868,,2044,1981,2145,2119,2118
Jordan,JOR,2020-07-31,2635,2113,2212.3,2148,,2183,2042,2150,2256,2350
Jordan,JOR,2020-08-31,2773,2202,2251.1,2209,,2016,2068,2385,2341,2341
Jordan,JOR,2020-09-30,2415,2290,2210.6,2093,,1988,1998,2437,2139,2125
Jordan,JOR,2020-10-31,2610,3414,2402.3,2077,,2081,2199,2926,2238,2153
Jordan,JOR,2020-11-30,3130,4960,2467.3,2230,,2178,2232,2903,2493,2304
Jordan,JOR,2020-12-31,3934,3390,2704.8,2510,,2630,2667,2686,2750,2973
Kazakhstan,KAZ,2020-01-31,12478,11867,12272.7,11759,12128,12867,11786,12402,13262,12147
Kazakhstan,KAZ,2020-02-29,11186,10842,10566.3,9504,11136,10475,10527,10768,13793,9667
Kazakhstan,KAZ,2020-03-31,12476,8511,11053.9,10587,11180,10980,11519,10582,11034,10810
Kazakhstan,KAZ,2020-04-30,13317,4441,11122.1,12051,10564,9994,10963,11617,9572,9504
Kazakhstan,KAZ,2020-05-31,14202,14358,11189.1,10282,11086,11339,11634,11183,10764,11127
Kazakhstan,KAZ,2020-06-30,12904,14949,10863.7,11336,11128,11039,10333,10061,10722,10346
Kazakhstan,KAZ,2020-07-31,16700,28178,11641.3,12977,10471,10628,11289,12420,10628,11243
Kazakhstan,KAZ,2020-08-31,24342,17835,10570.9,10127,11111,10755,9963,10477,11644,11145
Kazakhstan,KAZ,2020-09-30,19975,13672,10610.7,10880,10846,10282,10089,10535,10247,10152
Kazakhstan,KAZ,2020-10-31,16002,12489,11110.7,10473,10596,11020,11363,11680,10473,11148
Kazakhstan,KAZ,2020-11-30,15862,12388,10724.3,10442,11153,10439,10780,10386,10857,10716
Kazakhstan,KAZ,2020-12-31,13913,13083,10747.5,10434,11017,10218,10269,11378,11713,12591
Kosovo,OWID_KOS,2020-01-31,1252,906,889.8,762,744,826,874,873,900,871
Kosovo,OWID_KOS,2020-02-29,1007,805,814,704,667,750,804,775,987,786
Kosovo,OWID_KOS,2020-03-31,1350,831,848,729,729,707,808,897,763,763
Kosovo,OWID_KOS,2020-04-30,1338,739,791.6,711,718,690,700,769,742,749
Kosovo,OWID_KOS,2020-05-31,943,841,791.8,723,708,701,714,743,746,727
Kosovo,OWID_KOS,2020-06-30,814,854,747.8,573,653,680,720,743,640,662
Kosovo,OWID_KOS,2020-07-31,777,1426,748.4,632,632,652,695,761,736,754
Kosovo,OWID_KOS,2020-08-31,1284,1426,786.8,621,705,692,772,774,717,742
Kosovo,OWID_KOS,2020-09-30,1535,915,756.4,654,650,691,700,717,663,726
Kosovo,OWID_KOS,2020-10-31,893,984,811.6,690,704,751,768,775,737,718
Kosovo,OWID_KOS,2020-11-30,802,1610,793,664,718,744,692,777,748,749
Kosovo,OWID_KOS,2020-12-31,1024,1650,878,739,867,837,751,826,758,770
Kuwait,KWT,2020-01-31,764,599,721.8,596,619,686,708,735,872,714
Kuwait,KWT,2020-02-29,749,607,597.8,504,522,530,575,593,854,656
Kuwait,KWT,2020-03-31,1037,636,635.4,552,551,543,574,692,680,678
Kuwait,KWT,2020-04-30,1098,702,591,523,495,514,550,608,593,599
Kuwait,KWT,2020-05-31,991,1347,596.2,566,510,556,509,575,608,612
Kuwait,KWT,2020-06-30,1032,1235,585.2,558,447,519,548,589,631,577
Kuwait,KWT,2020-07-31,1461,1047,583.6,509,518,544,505,577,643,600
Kuwait,KWT,2020-08-31,1135,907,560.6,476,468,496,535,563,644,585
Kuwait,KWT,2020-09-30,738,878,566.4,481,472,529,526,559,561,542
Kuwait,KWT,2020-10-31,602,906,577.4,490,476,511,583,562,621,611
Kuwait,KWT,2020-11-30,634,903,642.4,567,575,614,570,621,646,629
Kuwait,KWT,2020-12-31,697,802,700.4,659,685,637,624,632,688,633
Kyrgyzstan,KGZ,2020-01-31,2988,3082,2962.8,3051,3188,3147,2781,3085,2871,2817
Kyrgyzstan,KGZ,2020-02-29,2621,2900,2539.2,2840,2567,2572,2565,2590,2977,2513
Kyrgyzstan,KGZ,2020-03-31,3137,2390,2710.4,3041,2705,2751,2887,2606,2955,2734
Kyrgyzstan,KGZ,2020-04-30,3024,1263,2636.6,2727,2684,2634,2749,2827,2568,2162
Kyrgyzstan,KGZ,2020-05-31,2868,2919,2732,2890,2749,2882,2775,2802,2307,2680
Kyrgyzstan,KGZ,2020-06-30,3375,3559,2566.2,2915,2819,2564,2594,2377,3683,2592
Kyrgyzstan,KGZ,2020-07-31,3835,4045,2835.6,3086,2701,2858,2912,3059,2578,2575
Kyrgyzstan,KGZ,2020-08-31,3810,4572,2586.4,2847,2641,2573,2646,2663,2907,2681
Kyrgyzstan,KGZ,2020-09-30,3307,3411,2483.2,2694,2597,2547,2432,2584,2799,2350
Kyrgyzstan,KGZ,2020-10-31,3257,3423,2718.8,2867,2776,2777,2803,2809,1656,2692
Kyrgyzstan,KGZ,2020-11-30,3381,4154,2707.6,2878,2791,2816,2804,2687,931,2786
Kyrgyzstan,KGZ,2020-12-31,3590,4259,3016,2969,3257,3045,3041,3206,3169,2918
Latvia,LVA,2020-01-05,840,603,605,617,684,606,567,586,692,717
Latvia,LVA,2020-01-12,825,591,612.4,608,649,616,555,669,692,750
Latvia,LVA,2020-01-19,795,537,623.8,622,634,631,598,669,661,642
Latvia,LVA,2020-01-26,791,555,607.6,618,670,567,606,612,599,602
Latvia,LVA,2020-02-02,765,560,598.6,624,551,630,587,636,673,582
Latvia,LVA,2020-02-09,709,534,581,573,557,623,568,619,681,571
Latvia,LVA,2020-02-16,682,545,598.8,623,581,637,589,599,736,617
Latvia,LVA,2020-02-23,668,543,617.6,596,565,695,671,596,676,623
Latvia,LVA,2020-03-01,603,523,622.2,607,608,652,707,572,707,564
Latvia,LVA,2020-03-08,610,507,613.4,605,582,641,699,575,663,537
Latvia,LVA,2020-03-15,631,549,586.6,600,604,567,664,533,697,503
Latvia,LVA,2020-03-22,586,546,596.8,565,577,614,706,557,676,571
Latvia,LVA,2020-03-29,611,532,589,555,606,570,687,562,612,498
Latvia,LVA,2020-04-05,558,571,575.6,565,575,602,648,523,610,511
Latvia,LVA,2020-04-12,596,567,568.4,600,566,553,606,552,574,552
Latvia,LVA,2020-04-19,603,514,544.8,570,544,554,582,509,568,594
Latvia,LVA,2020-04-26,630,554,539.4,580,537,534,517,564,569,540
Latvia,LVA,2020-05-03,609,522,503.6,516,520,560,502,455,533,518
Latvia,LVA,2020-05-10,657,453,534.2,513,545,549,554,545,537,515
Latvia,LVA,2020-05-17,609,587,523.8,547,537,543,526,501,545,516
Latvia,LVA,2020-05-24,572,538,515,535,527,488,527,533,530,463
Latvia,LVA,2020-05-31,570,506,519,535,558,510,537,490,538,494
Latvia,LVA,2020-06-07,640,505,495.8,521,492,551,452,498,528,452
Latvia,LVA,2020-06-14,526,523,473.6,459,503,498,455,488,513,515
Latvia,LVA,2020-06-21,714,514,522.2,549,586,515,491,505,558,535
Latvia,LVA,2020-06-28,618,560,492.6,523,527,484,495,469,609,498
Latvia,LVA,2020-07-05,589,516,489,584,464,457,492,483,477,424
Latvia,LVA,2020-07-12,632,472,500.4,487,490,533,534,493,484,430
Latvia,LVA,2020-07-19,513,526,523.6,525,490,516,587,535,512,476
Latvia,LVA,2020-07-26,552,494,489.8,508,474,482,528,492,527,437
Latvia,LVA,2020-08-02,552,493,488,494,465,468,592,456,540,479
Latvia,LVA,2020-08-09,496,501,470.8,523,474,460,484,448,513,483
Latvia,LVA,2020-08-16,553,524,486.8,520,524,501,440,484,573,498
Latvia,LVA,2020-08-23,503,530,489.4,520,550,476,483,453,498,452
Latvia,LVA,2020-08-30,535,473,473.6,470,466,508,486,473,494,439
Latvia,LVA,2020-09-06,605,481,469,438,494,471,521,456,519,453
Latvia,LVA,2020-09-13,561,481,496,478,514,552,466,505,534,484
Latvia,LVA,2020-09-20,624,487,498,505,509,535,513,463,547,474
Latvia,LVA,2020-09-27,654,536,522.8,528,522,534,503,562,586,492
Latvia,LVA,2020-10-04,665,543,530.2,488,550,569,545,534,588,490
Latvia,LVA,2020-10-11,779,508,515.4,514,537,528,501,532,591,497
Latvia,LVA,2020-10-18,925,557,530.2,555,593,525,502,511,551,562
Latvia,LVA,2020-10-25,921,575,514.8,572,478,534,514,511,558,567
Latvia,LVA,2020-11-01,927,559,532.2,550,556,543,538,509,534,577
Latvia,LVA,2020-11-08,895,558,504.8,500,538,500,535,486,510,505
Latvia,LVA,2020-11-15,840,572,521,544,522,572,521,481,590,568
Latvia,LVA,2020-11-22,726,600,530,520,571,560,496,538,593,595
Latvia,LVA,2020-11-29,682,618,530.4,518,534,555,532,548,569,595
Latvia,LVA,2020-12-06,697,669,540.8,537,534,552,572,544,600,638
Latvia,LVA,2020-12-13,655,711,542.4,523,528,578,560,558,680,621
Latvia,LVA,2020-12-20,669,730,582.4,567,610,594,613,563,717,614
Latvia,LVA,2020-12-27,706,820,577,597,571,566,589,597,791,587
Latvia,LVA,2021-01-03,,763,577,,,,,,,
Lebanon,LBN,2020-01-31,4116,2803,2449.3,2291,2360,2688,2275,2654,,
Lebanon,LBN,2020-02-29,3947,2506,2295.5,2211,2381,2506,2179,2222,,
Lebanon,LBN,2020-03-31,4299,2241,2452.5,2502,2329,2599,2454,2400,,
Lebanon,LBN,2020-04-30,3368,1852,2083.9,2183,1987,2141,1983,2147,,
Lebanon,LBN,2020-05-31,2335,2202,2125.9,2043,1600,2282,2513,2213,,
Lebanon,LBN,2020-06-30,1912,1841,1930.1,1904,2034,1853,1893,1988,,
Lebanon,LBN,2020-07-31,2064,1955,1910.1,1850,1734,2077,1925,1986,,
Lebanon,LBN,2020-08-31,2475,2158,1883.9,2006,1867,2110,1708,1750,,
Lebanon,LBN,2020-09-30,2369,2237,1751.7,1888,1925,1512,1700,1755,,
Lebanon,LBN,2020-10-31,2229,2788,2149.7,2126,2133,2217,2415,1879,,
Lebanon,LBN,2020-11-30,2557,2882,2007.9,1975,2161,1957,2035,1933,,
Lebanon,LBN,2020-12-31,3054,3171,2064.7,2296,2106,1905,2016,2022,,
Liechtenstein,LIE,2020-01-31,31,19,25.6,25,33,27,25,15,35,31
Liechtenstein,LIE,2020-02-29,23,30,20.8,22,19,15,20,25,28,21
Liechtenstein,LIE,2020-03-31,16,23,28,30,23,26,36,22,28,26
Liechtenstein,LIE,2020-04-30,29,22,20.8,17,20,15,22,27,19,21
Liechtenstein,LIE,2020-05-31,24,21,19,14,22,19,17,20,19,22
Liechtenstein,LIE,2020-06-30,11,18,20,19,12,22,23,21,19,21
Liechtenstein,LIE,2020-07-31,26,19,22.2,25,27,16,20,20,28,11
Liechtenstein,LIE,2020-08-31,20,23,23.2,22,23,17,28,23,17,22
Liechtenstein,LIE,2020-09-30,18,30,21.4,24,24,15,22,19,23,17
Liechtenstein,LIE,2020-10-31,20,23,23,18,25,29,17,23,17,18
Liechtenstein,LIE,2020-11-30,25,39,22.6,21,17,19,25,28,24,33
Liechtenstein,LIE,2020-12-31,28,52,22.4,15,26,29,19,20,22,27
Lithuania,LTU,2020-01-05,1200,812,815.1,844,845,958,826,842,956,993
Lithuania,LTU,2020-01-12,1195,803,825.7,827,896,979,788,878,941,914
Lithuania,LTU,2020-01-19,1095,787,872.1,905,936,970,879,910,972,814
Lithuania,LTU,2020-01-26,1089,786,863.3,853,906,953,862,982,917,846
Lithuania,LTU,2020-02-02,974,762,863.7,881,913,958,911,895,886,757
Lithuania,LTU,2020-02-09,984,764,851.7,873,891,923,957,854,1036,701
Lithuania,LTU,2020-02-16,933,809,828.3,921,836,877,947,800,981,555
Lithuania,LTU,2020-02-23,784,707,848.3,918,862,905,965,831,947,760
Lithuania,LTU,2020-03-01,873,807,816.7,922,826,828,964,783,891,746
Lithuania,LTU,2020-03-08,898,773,793.5,911,820,790,903,783,897,781
Lithuania,LTU,2020-03-15,825,773,771.5,896,826,763,858,754,891,746
Lithuania,LTU,2020-03-22,832,804,756.5,909,766,765,802,780,887,758
Lithuania,LTU,2020-03-29,771,816,738.5,859,824,771,800,678,840,682
Lithuania,LTU,2020-04-05,896,775,747.7,849,790,757,856,726,814,703
Lithuania,LTU,2020-04-12,842,803,741.1,867,804,761,790,723,792,739
Lithuania,LTU,2020-04-19,870,784,737.3,890,793,749,785,709,884,715
Lithuania,LTU,2020-04-26,823,786,715.3,791,773,778,701,773,802,682
Lithuania,LTU,2020-05-03,881,769,701.1,783,767,742,739,714,771,700
Lithuania,LTU,2020-05-10,866,717,714.9,796,757,793,777,691,717,782
Lithuania,LTU,2020-05-17,837,733,688.3,763,723,762,726,707,737,703
Lithuania,LTU,2020-05-24,817,715,728.5,802,813,771,708,788,733,707
Lithuania,LTU,2020-05-31,832,745,702.5,780,843,691,730,708,628,678
Lithuania,LTU,2020-06-07,816,735,694.1,850,727,723,622,788,757,664
Lithuania,LTU,2020-06-14,804,820,663.7,740,664,703,688,763,735,724
Lithuania,LTU,2020-06-21,917,760,662.9,749,760,723,662,660,745,699
Lithuania,LTU,2020-06-28,687,811,681.1,691,860,700,648,746,884,619
Lithuania,LTU,2020-07-05,825,689,648.7,827,688,668,623,677,688,665
Lithuania,LTU,2020-07-12,883,703,654.1,762,675,711,691,671,653,635
Lithuania,LTU,2020-07-19,700,764,656.7,689,723,697,733,681,692,655
Lithuania,LTU,2020-07-26,752,757,691.1,723,785,741,719,727,722,683
Lithuania,LTU,2020-08-02,722,723,648.5,727,690,647,807,611,770,634
Lithuania,LTU,2020-08-09,788,726,671.1,822,665,707,736,665,689,628
Lithuania,LTU,2020-08-16,804,746,649.5,753,715,680,678,661,875,696
Lithuania,LTU,2020-08-23,789,763,629.3,657,760,595,694,680,784,666
Lithuania,LTU,2020-08-30,771,721,653.1,704,735,728,623,715,670,633
Lithuania,LTU,2020-09-06,866,673,628.7,697,709,688,627,662,679,633
Lithuania,LTU,2020-09-13,916,729,605.3,654,653,679,645,635,783,691
Lithuania,LTU,2020-09-20,973,721,647.7,733,732,714,658,641,708,676
Lithuania,LTU,2020-09-27,1014,784,668.5,726,743,723,682,708,826,693
Lithuania,LTU,2020-10-04,1009,744,688.9,741,760,768,701,714,839,640
Lithuania,LTU,2020-10-11,1081,785,688.5,738,795,742,729,678,784,708
Lithuania,LTU,2020-10-18,1087,836,729.9,859,814,773,711,732,852,712
Lithuania,LTU,2020-10-25,1110,845,723.7,857,810,777,753,661,742,774
Lithuania,LTU,2020-11-01,1049,853,705.1,806,794,788,706,671,699,793
Lithuania,LTU,2020-11-08,1032,877,691.9,739,822,732,686,720,744,745
Lithuania,LTU,2020-11-15,973,952,699.9,815,802,784,681,657,735,741
Lithuania,LTU,2020-11-22,993,1099,698.5,757,776,770,727,702,801,823
Lithuania,LTU,2020-11-29,964,1109,701.9,761,752,721,741,774,788,770
Lithuania,LTU,2020-12-06,965,1238,722.5,786,752,790,843,681,879,836
Lithuania,LTU,2020-12-13,998,1220,696.9,773,759,693,773,726,930,832
Lithuania,LTU,2020-12-20,1075,1371,734.7,786,856,781,770,720,966,831
Lithuania,LTU,2020-12-27,983,1395,774.5,870,873,800,821,748,1041,841
Lithuania,LTU,2021-01-03,,1343,774.5,,,,,,,
Luxembourg,LUX,2020-01-05,102,62,92.6,81,75,95,85,98,98,136
Luxembourg,LUX,2020-01-12,94,85,100.4,87,81,123,100,82,89,103
Luxembourg,LUX,2020-01-19,89,92,93.2,80,85,107,84,81,82,89
Luxembourg,LUX,2020-01-26,109,86,95,94,83,101,85,83,93,91
Luxembourg,LUX,2020-02-02,93,89,103,100,79,110,96,101,90,75
Luxembourg,LUX,2020-02-09,89,90,102.8,100,72,92,115,106,96,91
Luxembourg,LUX,2020-02-16,92,70,103,92,85,86,111,112,98,82
Luxembourg,LUX,2020-02-23,87,85,96.2,115,65,71,112,89,109,81
Luxembourg,LUX,2020-03-01,86,74,93.4,88,82,67,111,90,91,80
Luxembourg,LUX,2020-03-08,114,92,107.8,112,91,89,135,83,89,85
Luxembourg,LUX,2020-03-15,116,87,87.4,84,86,75,85,78,84,96
Luxembourg,LUX,2020-03-22,78,87,91.8,73,91,89,94,83,84,73
Luxembourg,LUX,2020-03-29,77,113,92,88,82,99,70,92,91,89
Luxembourg,LUX,2020-04-05,89,91,89.4,91,78,97,75,77,92,91
Luxembourg,LUX,2020-04-12,73,116,77.4,75,70,63,80,70,86,86
Luxembourg,LUX,2020-04-19,82,88,84.8,80,71,83,83,78,97,92
Luxembourg,LUX,2020-04-26,93,83,80,72,63,90,64,82,94,72
Luxembourg,LUX,2020-05-03,79,69,77.6,61,76,74,67,81,73,101
Luxembourg,LUX,2020-05-10,63,87,76.2,68,68,73,77,66,79,94
Luxembourg,LUX,2020-05-17,85,80,77.2,65,77,63,75,77,77,82
Luxembourg,LUX,2020-05-24,68,77,82.2,62,82,72,84,82,63,73
Luxembourg,LUX,2020-05-31,64,77,75,77,72,64,53,80,95,74
Luxembourg,LUX,2020-06-07,80,73,79.6,71,62,76,89,71,72,71
Luxembourg,LUX,2020-06-14,85,70,80.4,65,81,86,74,67,87,75
Luxembourg,LUX,2020-06-21,69,78,72.4,76,71,66,57,63,73,76
Luxembourg,LUX,2020-06-28,87,67,74.6,54,49,72,77,92,60,67
Luxembourg,LUX,2020-07-05,78,70,81,87,70,71,77,71,85,74
Luxembourg,LUX,2020-07-12,85,73,86.2,88,80,85,63,86,85,60
Luxembourg,LUX,2020-07-19,67,73,78,69,77,76,69,70,80,72
Luxembourg,LUX,2020-07-26,64,71,80.6,57,74,83,88,72,94,84
Luxembourg,LUX,2020-08-02,75,91,80.8,73,64,66,100,72,87,79
Luxembourg,LUX,2020-08-09,75,93,80.4,68,69,59,95,82,85,71
Luxembourg,LUX,2020-08-16,63,99,79.8,71,72,67,81,79,89,84
Luxembourg,LUX,2020-08-23,72,72,73,73,69,71,58,65,67,80
Luxembourg,LUX,2020-08-30,84,61,81.8,70,85,76,72,77,68,77
Luxembourg,LUX,2020-09-06,92,86,81.8,73,71,75,88,73,74,78
Luxembourg,LUX,2020-09-13,72,73,79.6,80,73,78,60,78,81,87
Luxembourg,LUX,2020-09-20,69,87,73.2,65,61,79,60,72,72,63
Luxembourg,LUX,2020-09-27,90,75,86.6,70,77,88,84,85,83,95
Luxembourg,LUX,2020-10-04,95,82,83,65,69,78,91,83,85,85
Luxembourg,LUX,2020-10-11,67,69,90.6,68,85,94,90,87,93,99
Luxembourg,LUX,2020-10-18,79,87,80.6,66,80,80,86,62,90,90
Luxembourg,LUX,2020-10-25,113,93,80.2,73,71,84,61,83,77,81
Luxembourg,LUX,2020-11-01,102,98,91,84,72,84,83,103,84,100
Luxembourg,LUX,2020-11-08,101,113,88.8,74,76,77,98,90,81,101
Luxembourg,LUX,2020-11-15,89,117,85,67,82,75,70,102,81,92
Luxembourg,LUX,2020-11-22,100,126,90.8,78,73,96,89,89,92,76
Luxembourg,LUX,2020-11-29,105,134,80,61,79,70,72,89,96,87
Luxembourg,LUX,2020-12-06,90,110,84.4,59,81,97,69,87,86,96
Luxembourg,LUX,2020-12-13,89,126,88.6,76,86,78,85,89,76,96
Luxembourg,LUX,2020-12-20,109,105,89.6,83,76,85,92,83,92,95
Luxembourg,LUX,2020-12-27,122,117,90,56,93,96,81,95,118,86
Luxembourg,LUX,2021-01-03,,98,90,,,,,,,
Macao,MAC,2020-01-31,212,201,218.1,193,250,167,188,245,206,818
Macao,MAC,2020-02-29,193,187,184.3,163,203,151,170,187,191,199
Macao,MAC,2020-03-31,188,167,195.7,186,205,189,165,186,218,208
Macao,MAC,2020-04-30,187,189,182.9,167,185,168,156,191,210,203
Macao,MAC,2020-05-31,181,165,182.3,132,206,176,163,187,203,211
Macao,MAC,2020-06-30,194,178,181.9,181,175,178,157,171,228,197
Macao,MAC,2020-07-31,178,187,193.1,170,198,179,180,191,205,177
Macao,MAC,2020-08-31,201,206,188.1,163,148,212,174,196,202,177
Macao,MAC,2020-09-30,178,184,171.5,162,140,154,164,190,163,197
Macao,MAC,2020-10-31,196,184,174.9,158,157,187,177,148,190,183
Macao,MAC,2020-11-30,181,192,177.3,141,191,162,177,168,203,193
Macao,MAC,2020-12-31,231,190,208.1,186,190,197,198,222,785,218
Malaysia,MYS,2020-01-31,16184,16028,15447.5,14073,13281,14333,14960,14872,16799,16767
Malaysia,MYS,2020-02-29,14332,13827,14331.5,12247,12885,13412,13996,13399,15934,15324
Malaysia,MYS,2020-03-31,15391,14676,15593.7,13397,14660,14458,14985,14750,21611,16602
Malaysia,MYS,2020-04-30,14895,13038,14791.9,12310,13861,13718,14224,14128,16577,16752
Malaysia,MYS,2020-05-31,18089,13886,15222.9,13152,13658,14633,14413,14540,17013,18206
Malaysia,MYS,2020-06-30,17756,13317,14868.5,12824,13038,13995,14033,14734,16376,16276
Malaysia,MYS,2020-07-31,24520,13659,15424.3,13497,13982,14613,14461,14850,19112,16742
Malaysia,MYS,2020-08-31,26799,13950,15023.7,13312,13906,13576,14278,14328,16380,16389
Malaysia,MYS,2020-09-30,22287,13249,14266.9,12299,13026,13295,13417,13579,16349,14307
Malaysia,MYS,2020-10-31,19439,13880,14820.9,12969,13083,14229,13823,14282,16405,15891
Malaysia,MYS,2020-11-30,17165,12846,14685.9,12529,13050,13303,14144,14685,16684,15969
Malaysia,MYS,2020-12-31,17712,14151,15633.1,13177,13771,14603,15297,15599,17285,17473
Maldives,MDV,2020-01-31,98,114,102.7,94,122,97,114,110,,
Maldives,MDV,2020-02-29,102,96,93.7,91,121,104,98,78,,
Maldives,MDV,2020-03-31,104,109,112.9,107,129,134,117,101,,
Maldives,MDV,2020-04-30,129,91,96.5,114,97,109,99,87,,
Maldives,MDV,2020-05-31,186,109,92.7,87,104,94,113,89,,
Maldives,MDV,2020-06-30,178,91,86.9,88,98,103,89,80,,
Maldives,MDV,2020-07-31,115,115,87.1,73,83,105,100,98,,
Maldives,MDV,2020-08-31,106,129,88.1,91,109,88,91,85,,
Maldives,MDV,2020-09-30,114,112,84.7,92,94,90,93,78,,
Maldives,MDV,2020-10-31,149,103,90.1,97,80,106,100,91,,
Maldives,MDV,2020-11-30,116,110,86.5,98,88,94,90,86,,
Maldives,MDV,2020-12-31,116,96,92.5,98,101,117,112,58,,
Malta,MLT,2020-01-05,93,73,101.2,85,86,103,108,99,97,100
Malta,MLT,2020-01-12,85,93,89.2,93,69,98,74,87,93,96
Malta,MLT,2020-01-19,118,107,103.8,93,82,117,86,116,124,84
Malta,MLT,2020-01-26,93,88,92.4,72,71,107,82,105,121,116
Malta,MLT,2020-02-02,90,77,91,84,73,94,77,102,112,90
Malta,MLT,2020-02-09,94,90,92.2,78,102,84,85,87,115,87
Malta,MLT,2020-02-16,110,72,87,93,63,77,99,78,103,82
Malta,MLT,2020-02-23,109,74,93.2,100,57,89,107,88,82,91
